block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10,UPP BOON KENG RD,1.3141316722460257,103.87148475158666,2.0,3.0,1.0,7.0,6.0,4.0,6.0,4.0,5.0,7.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,YUNG KUANG RD,1.3314261306332646,103.72202655007358,17.0,2.0,6.0,4.0,8.0,5.0,10.0,10.0,7.0,11.0,6.0,3.0,3.0,5.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,
100,BEDOK NTH AVE 4,1.33435593400812,103.939032711241,12.0,9.0,16.0,12.0,12.0,9.0,28.0,9.0,21.0,23.0,15.0,13.0,14.0,15.0,6.0,7.0,12.0,9.0,6.0,10.0,8.0,6.0,4.0,6.0,8.0,4.0,2.0,4.0,5.0,7.0,3.0,8.0,6.0,5.0,
100,C'WEALTH CRES,1.30770527644461,103.801272476263,4.0,2.0,1.0,6.0,3.0,5.0,4.0,5.0,10.0,9.0,5.0,2.0,6.0,2.0,6.0,1.0,7.0,6.0,1.0,1.0,7.0,4.0,,2.0,3.0,3.0,,2.0,5.0,,1.0,,1.0,2.0,2.0
100,LOR 1 TOA PAYOH,1.33956400517884,103.848585713817,7.0,6.0,4.0,4.0,10.0,10.0,8.0,9.0,8.0,12.0,10.0,7.0,4.0,5.0,8.0,7.0,9.0,5.0,8.0,6.0,7.0,4.0,5.0,4.0,1.0,1.0,8.0,5.0,5.0,2.0,3.0,3.0,5.0,3.0,1.0
100,WHAMPOA DR,1.32077947735204,103.854348739922,,5.0,4.0,2.0,5.0,4.0,3.0,7.0,5.0,7.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,8.0,4.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,
101,BEDOK NTH AVE 4,1.33448466712402,103.937924710969,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,
101,C'WEALTH CRES,1.30805159231328,103.800842814413,4.0,,4.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,5.0,2.0,,3.0,1.0,2.0,,1.0,1.0,2.0,2.0,3.0,2.0,
101,WHAMPOA DR,1.32041710187606,103.853813946402,10.0,6.0,1.0,3.0,4.0,8.0,7.0,4.0,4.0,6.0,7.0,4.0,5.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,,1.0,,5.0,2.0,1.0,1.0,,2.0,2.0,5.0,1.0,
101,AH HOOD RD,1.32739678972467,103.844481022021,3.0,2.0,,2.0,7.0,2.0,3.0,10.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,,1.0,2.0,2.0,6.0,,1.0,1.0,5.0,,1.0,
